customer_id,country_id,name,email,gender,signup_date
1828402,1,Ryan Warren,lhull@example.com,Male,2023-06-23
1200072,2,Michelle Garcia,vmartinez@example.net,Female,2022-08-11
194850,3,Johnny Morrison,timothy77@example.com,Other,2024-04-02
1629055,4,Kelli Edwards,laura89@example.org,Female,2024-07-11
191145,5,Kristine Barker,brenttaylor@example.com,Female,2025-06-29
893211,6,Jeremy Jones,dnguyen@example.org,Other,2024-09-26
1764398,7,Kimberly Garza,oneilllisa@example.net,Female,2022-04-09
530092,8,Michael Donovan,garrisondavid@example.net,Other,2021-04-25
1484471,9,Michelle Schultz,victoriahuber@example.org,Male,2021-02-24
1715849,10,John Green,richardcastro@example.org,Other,2021-12-11
856580,11,John Mitchell,julieconley@example.org,Female,2024-01-11
1166585,12,Tasha Bowman,michaelwebb@example.com,Male,2021-03-14
1698158,13,Lindsey Chapman,uwhite@example.org,Female,2020-10-16
654425,14,Christopher Alexander,ycooper@example.org,Male,2021-05-01
1253577,15,Chloe Graves,melissawalsh@example.org,Male,2021-06-25
1311929,16,Jennifer Yang,raymond90@example.com,Female,2025-08-10
1513649,17,Michelle Hall,trose@example.net,Other,2022-03-04
533849,18,Thomas Mann Jr.,yortega@example.org,Other,2024-05-16
1063165,19,Donna Cline,debrasalazar@example.com,Other,2023-10-08
1579543,20,Timothy Peterson,jtrevino@example.net,Female,2023-11-06
394340,21,Megan Jones,guerrerojeremy@example.org,Female,2024-04-18
781501,22,Mark Ochoa,reyesnancy@example.net,Male,2022-06-07
1061702,23,Jordan Marshall,stoutchad@example.com,Female,2021-07-26
1308662,24,Susan White,jeffreyward@example.com,Other,2022-11-16
970813,25,Erika Cabrera,rojassamantha@example.org,Other,2022-09-25
794916,26,Kari Johnson,campbellangela@example.org,Female,2023-08-07
291982,27,Mark Gonzalez,christinabaldwin@example.org,Female,2021-01-01
1589202,28,Karen Taylor,deancarter@example.org,Female,2024-02-07
963081,29,Nicole Castillo,stacyalvarez@example.org,Female,2025-03-15
1657037,30,David Carter,rebecca71@example.com,Male,2024-02-11
740618,31,April Cook,juliasalinas@example.com,Male,2020-11-14
794286,32,Laura Dudley,victorkrueger@example.org,Male,2023-04-12
1562604,21,Whitney Williams,dlong@example.com,Male,2021-04-30
99486,33,Mary Carr,nguyenlinda@example.com,Female,2025-08-06
1485382,34,Tina Johnson,chase14@example.net,Male,2025-05-26
685775,35,Melinda Davis,james73@example.org,Female,2022-11-09
1351483,36,Mr. Theodore Hall,christina37@example.org,Female,2022-06-07
621855,21,Debbie Hart,shelby90@example.org,Female,2025-03-11
236374,37,Craig James,cvega@example.net,Other,2023-11-14
147556,21,Kaylee Curtis,douglasjones@example.org,Female,2021-11-28
783443,38,Daniel Thomas,psolis@example.org,Female,2022-09-21
734293,39,Sarah Ali,dillon73@example.org,Female,2021-11-14
1435717,40,Brandi Martin,taragardner@example.net,Female,2025-08-13
1144601,41,Paul West,shawn99@example.com,Female,2022-02-02
982982,42,Daniel Wade,robertpeterson@example.net,Female,2021-12-25
384123,43,Susan Bennett,robertcaldwell@example.org,Female,2023-05-01
1545368,44,Rachel Hernandez,alexhall@example.net,Female,2024-04-22
1378145,45,Joshua Carlson,jessica20@example.com,Other,2025-06-28
474101,46,Eric Patel,sharpstacy@example.net,Male,2025-08-15
1821417,47,Rodney Cline,uwheeler@example.com,Other,2023-07-26
