customer_address_id,customer_id,address
1,344772,"Jl. Pahlawan No. 63, RT 8/RW 3"
2,777514,Perumahan Gatot Subroto No. 303
3,1203736,"Jl. Merdeka No. 24, RT 7/RW 4"
4,1203736,Perumahan Merdeka No. 288
5,979308,Perumahan Maple No. 113
6,486653,Perumahan Pahlawan No. 415
7,486653,"Jl. Imam Bonjol No. 179, RT 14/RW 6"
8,663686,"Kartini Street No. F, Block 7"
9,663686,"Jl. Pine No. 25, RT 12/RW 6"
10,1774311,"Jl. Cedar No. 138, RT 4/RW 7"
11,1774311,"Jl. Mangga No. 161, RT 20/RW 6"
12,525131,"Jl. Sudirman No. 170, RT 8/RW 5"
13,1363017,"Ahmad Yani Street No. G, Block 18"
14,541433,Kompleks Imam Bonjol Blok F No. 23
15,541433,"Pahlawan Street No. B, Block 39"
16,1437451,Perumahan Veteran No. 84
17,1585532,"Pahlawan Avenue, Apt 474"
18,1585532,Perumahan Veteran No. 351
19,1607861,"Jl. Veteran No. 9, RT 11/RW 7"
20,1607861,Kompleks Gatot Subroto Blok D No. 37
21,737542,"Willow Street No. G, Block 42"
22,737542,"Diponegoro Avenue, Apt 136"
23,706116,"Pahlawan Street No. G, Block 38"
24,1081004,Kompleks Veteran Blok C No. 33
25,1081004,"Gatot Subroto Avenue, Apt 387"
26,1407073,"Jl. Diponegoro No. 161, RT 6/RW 7"
27,491082,"Pine Avenue, Apt 306"
28,1892913,Perumahan Pahlawan No. 498
29,1892913,Perumahan Merdeka No. 349
30,1588494,Perumahan Pahlawan No. 394
31,853318,"Jl. Mangga No. 112, RT 6/RW 8"
32,853318,"Jl. Pahlawan No. 129, RT 6/RW 9"
33,938469,Kompleks Kartini Blok C No. 24
34,929655,Perumahan Merdeka No. 307
35,1423296,"Merdeka Avenue, Apt 58"
36,1423296,Kompleks Mangga Blok D No. 4
37,1561784,Perumahan Gatot Subroto No. 44
38,1570653,"Jl. Diponegoro No. 33, RT 16/RW 9"
39,1570653,"Pahlawan Street No. G, Block 14"
40,82706,Kompleks Pine Blok F No. 29
41,798616,"Jl. Veteran No. 58, RT 3/RW 6"
42,798616,"Jl. Veteran No. 151, RT 8/RW 1"
43,1625218,"Jl. Veteran No. 18, RT 2/RW 6"
44,364076,Perumahan Veteran No. 143
45,1390059,"Diponegoro Street No. H, Block 16"
46,1390059,"Maple Avenue, Apt 98"
47,528764,"Jl. Maple No. 91, RT 14/RW 7"
48,1471329,"Jl. Ahmad Yani No. 16, RT 13/RW 6"
49,1471329,"Jl. Veteran No. 50, RT 7/RW 9"
50,300095,"Maple Street No. C, Block 18"
51,300095,"Veteran Avenue, Apt 448"
52,1417467,"Ahmad Yani Avenue, Apt 26"
53,1865455,"Jl. Veteran No. 43, RT 14/RW 8"
54,1845249,"Pine Street No. A, Block 11"
55,1845249,"Merdeka Avenue, Apt 200"
56,1115453,"Mangga Avenue, Apt 217"
57,1115453,Perumahan Willow No. 80
58,1981246,Kompleks Kartini Blok A No. 38
59,1384771,Kompleks Sudirman Blok A No. 38
60,657565,Perumahan Imam Bonjol No. 30
61,657565,Perumahan Gatot Subroto No. 436
62,33003,"Jl. Gatot Subroto No. 173, RT 8/RW 7"
63,1657037,Perumahan Veteran No. 297
64,518033,Perumahan Gatot Subroto No. 215
65,940183,Kompleks Kartini Blok F No. 16
66,940183,Kompleks Pine Blok C No. 43
67,1503023,"Melati Avenue, Apt 476"
68,1503023,"Jl. Merdeka No. 118, RT 20/RW 10"
69,370948,"Jl. Kartini No. 130, RT 9/RW 3"
70,845049,"Jl. Veteran No. 95, RT 10/RW 3"
71,845049,"Mangga Avenue, Apt 314"
72,393029,Perumahan Mangga No. 478
73,135652,"Pahlawan Street No. B, Block 7"
74,117363,Kompleks Mangga Blok D No. 46
75,563069,"Pahlawan Street No. H, Block 17"
76,563069,"Jl. Gatot Subroto No. 163, RT 14/RW 5"
77,877112,"Jl. Melati No. 198, RT 5/RW 5"
78,1256692,"Maple Avenue, Apt 288"
79,1411208,"Jl. Gatot Subroto No. 177, RT 5/RW 9"
80,1841192,Kompleks Diponegoro Blok G No. 9
81,1572646,Kompleks Oak Blok A No. 23
82,860036,"Ahmad Yani Street No. F, Block 50"
83,915512,Perumahan Diponegoro No. 474
84,915512,"Imam Bonjol Street No. C, Block 27"
85,211293,"Melati Street No. G, Block 43"
86,327689,Kompleks Imam Bonjol Blok B No. 25
87,1317675,"Veteran Avenue, Apt 103"
88,1416759,Kompleks Mangga Blok D No. 15
89,1416759,"Jl. Kartini No. 103, RT 11/RW 5"
90,1366328,Kompleks Oak Blok G No. 44
91,1308662,"Jl. Ahmad Yani No. 67, RT 6/RW 10"
92,1308662,Kompleks Sudirman Blok B No. 39
93,1343735,Kompleks Melati Blok G No. 39
94,1343735,Perumahan Ahmad Yani No. 198
95,812606,Kompleks Sudirman Blok G No. 1
96,661645,Kompleks Maple Blok B No. 43
97,687358,Perumahan Melati No. 340
98,687358,"Jl. Mangga No. 130, RT 10/RW 7"
99,1817917,"Mangga Avenue, Apt 284"
100,1817917,"Kartini Street No. G, Block 43"
101,761053,"Mangga Street No. G, Block 36"
102,761053,"Jl. Mangga No. 74, RT 7/RW 7"
103,1094318,"Cedar Avenue, Apt 227"
104,1094318,"Willow Street No. C, Block 43"
105,744034,Kompleks Melati Blok B No. 49
106,1975726,Kompleks Veteran Blok D No. 10
107,772681,"Jl. Veteran No. 122, RT 20/RW 2"
108,657024,"Kartini Avenue, Apt 368"
109,657024,"Willow Avenue, Apt 205"
110,398617,"Merdeka Street No. B, Block 50"
111,1192738,"Imam Bonjol Street No. H, Block 4"
112,1192738,Perumahan Veteran No. 470
113,1309932,"Diponegoro Avenue, Apt 411"
114,1542871,Perumahan Melati No. 487
115,1542871,"Maple Avenue, Apt 426"
116,1350596,"Willow Street No. H, Block 17"
117,1350596,"Pahlawan Street No. H, Block 41"
118,1758572,Kompleks Cedar Blok B No. 46
119,1647548,"Pahlawan Street No. F, Block 21"
120,1647548,Perumahan Gatot Subroto No. 71
121,885513,"Pine Street No. C, Block 46"
122,5525,"Jl. Maple No. 105, RT 11/RW 9"
123,883494,"Sudirman Avenue, Apt 106"
124,883494,"Pine Avenue, Apt 464"
125,1960242,Perumahan Pine No. 245
126,1788283,Kompleks Mangga Blok G No. 27
127,1004894,"Veteran Avenue, Apt 140"
128,1965203,"Merdeka Avenue, Apt 200"
129,1965203,Kompleks Pine Blok C No. 30
130,1545137,Perumahan Merdeka No. 465
131,1830498,Perumahan Merdeka No. 43
132,1830498,"Diponegoro Avenue, Apt 444"
133,176219,"Sudirman Street No. E, Block 25"
